"complaint","department"
"This is to formally inform you that the road near our COLONY has developed deep cracks.","Roads"
"I would like to BRING to your attention that patients at the hospital near Model Town face very long waiting times. Thank you.","Health"
"Could you please look into the issue that illegal parking near the panchayat office area is blocking the road? We need a permanent solution to this problem.","Transport"
"Could you please look into the issue that heavy rain caused the drain near Sector 12 to overflow into houses?","Drainage"
"URGENT: the local train service near our building has been delayed since yesterday. Waiting for a quick response from your side.","Transport"
"My   family is really struggling since people are dumping waste illegally near the flyover.","Sanitation"
"Please act fast, there is a shortage of medical staff at the clinic near Shastri Nagar. Thank you.","Health"
"Could you please look into the issue that drains in our block are completely blocked with waste? Please send someone to fix this soon.","Drainage"
"the sanitation inside the hospital near our   building is very poor. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. This should have been fixed long ago.","Health"
"traffic congestion near MG Road has become unbearable.","Transport"
"water supply to the apartment complex has become very irregular since Monday. This has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Water Supply"
"I would like to bring to your attention that stray dogs near the hospital in Sector 12 are becoming a health hazard. Hope to see quick action on this","Health"
"We are fed up as heavy rain caused the drain near the housing society to OVERFLOW into houses. Thank you.","Drainage"
"Kindly note that the newly laid road near the local market is already cracking. Kindly resolve this issue at the earliest.","Roads"
"sir just want to say the public cleanliness near our block has deteriorated badly. Waiting for a quick response from your side.","Sanitation"
"the power supply to the industrial area keeps tripping every few hours.","Electricity"
"a theft was reported near the main market area and no action has been taken. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. We need a permanent solution to this problem","Police"
"Could you please look into the issue that an unauthorized electricity connection is causing overload in the water tank area? Please send someone to fix this soon.","Electricity"
"Could you please look into the issue that the public toilet near the bridge area is extremely unhygienic? Please take strict action against those responsible.","Sanitation"
"Just letting you know a street fight broke out near Shastri Nagar last night.","Police"
"This is to formally inform you that an unauthorized electricity connection is causing overload in the housing society.","Electricity"
"sewage is overflowing onto the street near the main market area.","Drainage"
"my family is really struggling since garbage has not been collected in the housing society since yesterday. Requesting immediate action from your department.","Sanitation"
"This letter is to inform the department that illegal parking near our street is blocking the road.","Transport"
"I am writing to report that there is a leaking valve near our neighbourhood wasting a lot of water. Kindly resolve this issue at the earliest","Water Supply"
"a live wire fell near the main MARKET area and no one has come to fix it since yesterday.","Electricity"
"This is to FORMALLY inform you that there is a lack of medicines at the health center near the college road. Kindly resolve this issue at the earliest.","Health"
"Could you please look into the issue that there is a lot of noise disturbance near the bus   stand area at night? Hope to see quick action on this.","Police"
"This letter is to inform the department that the street lights in the bus stand area havent worked continuously since last night","Electricity"
"It is so painful to see that mosquito control measures have not been taken near Model Town continuously since last night. Regards.","Health"
"I am writing to report that the bus conductor near the apartment complex was rude to passengers","Transport"
"My family is really struggling since the footpath near Gandhi Nagar is damaged making it hard for pedestrians. This should have been fixed long ago.","Roads"
"please resolve this on priority basis. waterlogging near the residential block has made it impossible to walk for several days","Drainage"
"the transformer near the main market area is damaged and sparking since morning.","Electricity"
"a huge pile of garbage has accumulated near Gandhi Nagar. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please help us out.","Sanitation"
"Hi team, the traffic signal near Sector 12 has been malfunctioning for the past 3 days. Please send someone to fix this soon.","Transport"
"there are huge potholes on the road near the flyover.","Roads"
"This letter is to inform the department that construction debris has been left on the road near our street for the past few hours. Thank you.","Roads"
"the water tanker never arrives on time in our neighbourhood. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please send someone to fix this soon.","Water Supply"
"We are suffering a lot because the sewage pipeline near the local MARKET has been leaking for the last month. Please help us out.","Drainage"
"loose electric wires are hanging near Model Town, posing a safety risk.","Electricity"
"My family is really struggling since we have RECEIVED no water supply in the panchayat office area for 2 weeks now. Please help us out.","Water Supply"
"This is to formally inform you that there has been a power failure in the water tank area continuously since last night.","Electricity"
"Could you please look into the issue that the borewell near the flyover has stopped working for several days? We need a permanent solution to this problem","Water Supply"
"I would like to bring to your attention that the buses passing through the park area are dangerously overcrowded. Thank you.","Transport"
"It is so painful to see that the health camp promised near Gandhi Nagar was never conducted.","Health"
"a street fight broke out near our village last night. This has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Police"
"It is so painful to see that a large pothole near the college road caused an accident yesterday. Kindly resolve this issue at the earliest.","Roads"
"this is an emergency situation. the local train service near the temple area has been delayed for 2 weeks now. Requesting immediate action from your department.","Transport"
"a huge pile of garbage has accumulated near Nehru Colony.","Sanitation"
"Hi team, the electricity meter installed at the goverment quarters seems to be faulty. Please help us out.","Electricity"
"I am writing to report that the transformer near Model Town is damaged and sparking since last Sunday. Regards.","Electricity"
"Could you please look into the issue that stagnant water from the drain near Shastri Nagar is causing diseases?","Drainage"
"drains in the water tank area are completely blocked with waste. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please help us out.","Drainage"
"To whoever reads this, the public cleanliness near Model Town has deteriorated badly.","Sanitation"
"immediate action required: the sewage pipeline near our colony has been leaking for the past few hours. please help us out.","Drainage"
"Could you please look into the issue that the garbage truck has not visited our lane for several days? Thank you","Sanitation"
"could you please look into the issue that there has been a power failure in the slum area for 2 weeks now? please send someone to fix this soon.","Electricity"
"We are fed up as a THEFT was reported near our lane and no action has been taken.","Police"
"I am really frustrated that the bus conductor near our building was rude to passengers. Requesting immediate action from your department","Transport"
"My family is really struggling since the garbage truck has not visited the industrial area since morning. Please look into this matter as soon as possible.","Sanitation"
"My family is really struggling since water supply to the slum area has become very irregular since yesterday. Hope to see quick action on this.","Water Supply"
"Immediate action required: the road markings near the hospital area have faded completely. Please look into this matter as soon as possible.","Roads"
"traffic congestion near the   slum area has become unbearable.","Transport"
"kindly note that burning of garbage near our building is causing air pollution.","Sanitation"
"Sir/madam the ambulance service near our colony took too long to respond for 2 weeks now. This should have been fixed long ago.","Health"
"the bus stop near the school area has been broken since this afternoon. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Thank you","Transport"
"there are huge potholes on the road near the slum area.","Roads"
"My family is really struggling since the public toilet near the corner shop area is extremely unhygienic. Waiting for a quick response from your side.","Sanitation"
"Could you please look into the issue that residents of the highway junction have not received drinking water for the last month? Thank you.","Water Supply"
"Kindly note that traffic congestion near the local market has become unbearable.","Transport"
"Could you please look into the issue that burning of garbage near the government quarters is causing air pollution? Please send someone to fix this soon.","Sanitation"
"the traffic signal near the hospital area has been malfunctioning for the past 3 days","Transport"
"public health concerns are rising due to poor waste disposal near the railway station road. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Hope to see quick action on this.","Health"
"Could you please look into the issue that an electric pole near the industrial area is damaged and leaning dangerously? Hope to see quick action on this.","Electricity"
"drains in the industrial area are completely blocked with waste. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Regards.","Drainage"
"hello, the sewage pipeline near MG Road has been leaking for the last few months. PLEASE send someone to fix this soon.","Drainage"
"Guys please note traffic violations are common near Ward 7 and no one is checking. Requesting immediate action from your department","Police"
"Guys please note traffic violations are common near the slum area and no one is checking.","Police"
"could you please look into the issue that the traffic signal near the residential block has been malfunctioning since last week? requesting immediate action from your department.","Transport"
"Kindly note that the footpath near the bus stand area is damaged making it hard for pedestrians. Please help us out.","Roads"
"This is to formally inform you that traffic congestion near the outskirts of the city has become unbearable.","Transport"
"Immediate action required: buses on the route through the main market area are always late for 2 weeks now. Hope to see quick action on this.","Transport"
"there is a lot of noise disturbance near our lane at night. this has been a recurring issue in the area and is causing a lot of inconvenience to residents. this should have been fixed long ago.","Police"
"SIR/MADAM the ambulance service near the government quarters took too long to respond for the last few months.","Health"
"I wish to lodge a complaint regarding the fact that the public cleanliness near the hospital area has deteriorated badly","Sanitation"
"This needs immediate attention. the newly laid road near the school area is already cracking. Please look into this matter as soon as possible","Roads"
"garbage has not been collected in the highway junction since the rains started","Sanitation"
"could you please look into the issue that a group of people has been creating public disturbance near the apartment complex for several days? Please look into this matter as soon as possible.","Police"
"We are suffering a lot because stray animals are scattering garbage all over MG Road. Waiting for a quick response from your side.","Sanitation"
"My family is really struggling since the sewage pipeline near Nehru Colony has been leaking for the past 3 days.","Drainage"
"URGENT: there is a shortage of medical staff at the clinic near our block. KINDLY resolve this issue at the earliest.","Health"
"Guys please note the health camp promised near the apartment complex was never conducted. Please look into this matter as soon as possible.","Health"
"the water pipe near the college road burst and is flooding the street. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Regards","Water Supply"
"URGENT: the drainage cover near the apartment complex is broken, its a safety hazard. Please look into this matter as soon as possible.","Drainage"
"the garbage truck has not visited Nehru Colony for the past 3 days. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. We need a permanent solution to this problem.","Sanitation"
"the local train service near our lane has been delayed for the past 3 days. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Thank you.","Transport"
"heavy rains have washed away part of the road at the temple AREA. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Hope to see quick action on this.","Roads"
"This is an emergency situation. burning of garbage near our village is causing air pollution.","Sanitation"
"this is to formally inform you that the road divider near the industrial area is broken and dangerous for drivers.","Roads"
"Please act fast, water supply to our colony has become very irregular for the last 5 days. Thank you.","Water Supply"
"the dustbins near MG Road are overflowing with waste. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please take strict action against those responsible.","Sanitation"
"people are dumping waste illegally near Gandhi Nagar. This has been a recurring issue in the area and is causing a lot of inconvenience to RESIDENTS. Waiting for a quick response from your side.","Sanitation"
"there is a shortage of medical staff at the clinic near the bridge area. This has been a recurring issue in the area and is causing a lot of inconvenience to RESIDENTS. Hope to see quick action on this.","Health"
"I am really frustrated that drains in our neighbourhood are completely blocked with waste. We need a permanent solution to this problm.","Drainage"
"could you please look into the issue that burning of garbage near the school area is causing air pollution? Waiting for a quick response from your side.","Sanitation"
"the dustbins near the water tank area are overflowing with waste. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Thank you.","Sanitation"
"the substation near the outskirts of the city has been making loud noises for several days. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Kindly resolve this issue at the earliest","Electricity"
"I feel helpless because waterlogging near the corner shop area has made it impossible to walk since morning. This should have   been fixed long ago.","Drainage"
"Kindly note that a live wire fell near the railway station road and no one has come to fix it for over a week.","Electricity"
"Please act fast, garbage has not been collected in the railway station road since last Sunday. Please take strict action against those responsible.","Sanitation"
"Guys please note water supply to the railway station road has become very irregular for several days.","Water Supply"
"Kindly note that heavy rain caused the drain near the flyover to overflow into houses.","Drainage"
"Guys please note the garbage truck has not visited our building continuously since last night. Kindly resolve this issue at the earliest.","Sanitation"
"suspicious activities have been noticed near the local market since yesterday.","Police"
"illegal parking near our colony is causing trouble for residents.","Police"
"This needs immediate attention. the electricity meter installed at the temple area seems to be faulty. We need a permanent solution to this problem.","Electricity"
"sir just want to say suspicious activities have been noticed near our village for several days. Please send someone to fix this soon.","Police"
"Could you please look into the issue that the public cleanliness near Model Town has deteriorated badly? Kindly resolve this issue at the earliest.","Sanitation"
"suspicious activities have been noticed near our street since last Sunday.","Police"
"stagnant water from the drain near Nehru Colony is causing diseases","Drainage"
"Sir/madam suspicious activities have been noticed near Nehru   Colony for over a week.","Police"
"I am really frustrated that the drainage cover near the highway junction is broken, its a safety hazard. We need a permanent solution to this PROBLEM.","Drainage"
"I wish to lodge a complaint regarding the fact that we are facing severe voltage fluctuation in our village. Requesting immediate action from your department.","Electricity"
"a pipeline near the housing society has broken and water is flooding the road. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Thank you.","Water Supply"
"garbage has not been collected in the railway station road continuously since last night. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. We need a permanent solution to this problem.","Sanitation"
"Just letting you know illegal parking near the panchayat office area is blocking the road.","Transport"
"sir/madam we suspect sewage is mixing with drinking water supply in Ward 7. Hope to see quick action on this.","Water Supply"
"We are suffering a lot because the water pipe near Nehru Colony burst and   is flooding the street.","Water Supply"
"I feel helpless because the drainage near Ward 7 has been overflowing for the past 3 days. Regards","Drainage"
"there is a major water leakage near our village for the last 5 days. This has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Water Supply"
"I wish to lodge a COMPLAINT regarding the fact that the electricity meter installed at the bus stand area seems to be faulty. Please help us out.","Electricity"
"Could you please look into the issue that the open drain near our village is a breeding ground for mosquitoes? Please send someone to fix this soon.","Drainage"
"We are suffering a lot because a chain snatching incident occurred near Sector 12 yesterday. Hope to see quick action on this.","Police"
"This needs immediate attention. the transformer near the highway junction is damaged and sparking for the past 3 days. Regards.","Electricity"
"the garbage truck has not visited the railway station road since Monday. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Kindly resolve this issue at the earliest","Sanitation"
"the power supply to our building keeps tripping every few hours. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please send someone to fix this soon","Electricity"
"I am really frustrated that buses on the route through the panchayat office area are always late for the last month. Please take strict action against those responsible","Transport"
"I feel helpless because there has been no electricity supply in Nehru Colony since Monday. Hope to see quick action on this.","Electricity"
"My family is really struggling since the government hospital near Model Town is extremely unclean. Thank you.","Health"
"this is an emergency situation. the government hospital near Ward 7 is extremely unclean.","Health"
"I wish to lodge a complaint regarding the fact that the public cleanliness near our village has deteriorated badly. Please help us out","Sanitation"
"the bus stop near the outskirts of the city has been broken since MORNING.","Transport"
"I am writing to report that a huge pile of garbage has accumulated near the slum area. Hope to see quick action on this.","Sanitation"
"the open drain near the college road is a breeding ground for mosquitoes.","Drainage"
"Please act fast, the road divider near our village is broken and dangerous for drivers. Requesting immediate action from your department","Roads"
"Immediate action required: a pipeline near Sector 12 has broken and water is flooding the road","Water Supply"
"Please act fast, a pipeline near Sector 12 has broken and water is flooding the road. Please help us out.","Water Supply"
"URGENT: the road near the flyover has developed deep cracks. Regards","Roads"
"I wish to lodge a complaint regarding the fact that the water pipe   near our village burst and is flooding the street.","Water Supply"
"Could you please look into the issue that the local train service near the industrial area has been delayed for the past few hours? Please help us out.","Transport"
"We are suffering a lot because waterlogging near Model Town has made it impossible to walk for the past 3 days. Waiting for a quick response from your side.","Drainage"
"suspicious activities have been noticed near the INDUSTRIAL area since Monday. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Thank you.","Police"
"We are fed up as a theft was reported near the industrial area and no action has been taken. Please look into this matter as soon as possible.","Police"
"URGENT: suspicious activities have been noticed near our block for the past 3 days.","Police"
"I am really frustrated that anti social elements have been loitering near the flyover since morning. Waiting for a quick response from your side.","Police"
"auto rickshaw drivers near Gandhi Nagar are overcharging passengers.","Transport"
"I am really frustrated that the health camp promised near the bus stand area was never conducted. Requesting immediate action from your department.","Health"
"this is an emergency situation. a chain snatching incident occurred near nehru colony yesterday. please take strict action against those responsible.","Police"
"waterlogging near our colony has made it impossible to walk for several days. This has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Drainage"
"illegal parking near the park area is blocking the road.","Transport"
"We are fed up as patients at the hospital near Ward 7 face very long WAITING times. Waiting for a quick response from your side.","Health"
"Please act fast, people are dumping waste illegally near the industrial area. We need a permanent solution to this problem.","Sanitation"
"the drainage cover near the old town area is broken, its a safety hazard","Drainage"
"Please resolve this on priority basis. traffic jams keep happening near the park area due to damaged roads. Thank you.","Roads"
"Could you please look into the issue that the sewage pipeline near Model Town has been leaking for the last month?","Drainage"
"I am writing to report that public health concerns are rising due to poor waste disposal near the temple area.","Health"
"Please resolve this on priority basis. there is no proper parking space available near the school area. We need a permanent solution to this problem.","Transport"
"my family is really struggling since drains in the college road are completely blocked with waste. please help us out.","Drainage"
"illegal parking near the government quarters is blocking the road. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Thank you.","Transport"
"Please act fast, the electricity bill for the old town area shows incorrect METER reading. Requesting immediate action from your department.","Electricity"
"Sir just want to say patients at the hospital near the panchayat office area face very long waiting times. Please look into this matter as soon as possible.","Health"
"Kindly note that the ambulance service near our lane took too long to respond for almost 10 days.","Health"
"Could you please look into the issue that the power supply to the corner shop area keeps tripping every few hours? This should have been fixed long ago","Electricity"
"there is no proper parking space available near our lane.","Transport"
"URGENT: the traffic signal near the government quarters has been malfunctioning since last week. Please help us out.","Transport"
"we have received no water supply in our lane since last Sunday. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Requesting immediate action from your department.","Water Supply"
"Could you please look into the issue that the road in our lane is completely broken and unusable? Waiting for a quick response from your side.","Roads"
"Could you please look into the issue that a street fight broke out near the hospital area last night? Requesting immediate action from your department.","Police"
"Could you please look into the issue that anti social elements have been loitering near our block since this afternoon? Please send someone to fix this soon.","Police"
"Could you please look into the issue that the road in the apartment COMPLEX is completely broken and unusable? Please help us out.","Roads"
"Could you please look into the issue that the footpath near the main market area is damaged making it hard for pedestrians? Please help us out.","Roads"
"Just letting you know an unauthorized electricty connection is causing overload in the college road.","Electricity"
"This letter is to inform the department that the public toilet near the park area is extremely unhygienic. This should have been fixed long ago.","Sanitation"
"I would like to bring to your attention that the sanitation inside the hospital near our building is very poor","Health"
"This is an emergency situation. the public toilet near the panchayat office area is extremely unhygienic. This should have been fixed long ago.","Sanitation"
"Could you please look into the issue that heavy rain caused the drain near the government quarters to overflow into HOUSES? Kindly resolve this issue at the earliest.","Drainage"
"My family is really struggling since there is a leaking valve near the park area wasting a lot of water. Thank you.","Water Supply"
"please act fast, a theft was reported near the corner shop area and no action has been taken. please take strict action against those responsible.","Police"
"This is to formally inform you that a theft was reported near the corner shop area and no action has been taken. We need a permanent solution to this problem.","Police"
"We are suffering a lot because street light poles in the outskirts of the city are sparking at night. Please send someone to fix this soon.","Electricity"
"this letter is to inform the department that an unauthorized electricity connection is causing overload in the industrial area. waiting for a quick response from your side.","Electricity"
"street light poles in the bridge area are sparking at night. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. This should have been fixed long ago.","Electricity"
"the road divider near the highway junction is broken and dangerous for drivers. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Requesting immediate action from your department.","Roads"
"Could you please look into the issue that there are frequent power cuts in the slum area for almost 10 days? Thank you.","Electricity"
"This letter is to inform the department that the road near the industrial area has developed deep cracks","Roads"
"This letter is to inform the department that construction debris has been left on the road near our lane SINCE yesterday. Please look into this matter as soon as possible.","Roads"
"This letter is to inform the department that a group of people has been creating public disturbance near the corner shop area since the rains started. Please send someone to fix this soon.","Police"
"the footpath near the industrial area is damaged making it hard for pedestrians. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Kindly resolve this issue at the earliest.","Roads"
"Just letting you know the open drain near the hospital area is a breeding ground for mosquitoes. Kindly resolve this issue at the earliest","Drainage"
"the sewage pipeline near Model Town has been leaking for over a week. This has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Drainage"
"We are fed up as the public toilet near the bridge area is extremely unhygienic. Please help us out.","Sanitation"
"please act fast, public health concerns are rising due to poor waste disposal near the highway junction.","Health"
"I am writing to report that the open drain near the panchayat office area is a breeding ground for mosquitoes. Please send someone to fix this soon.","Drainage"
"Could you please look into the issue that the road markings near the outskirts of the city have faded completely? Hope to see quick action on this.","Roads"
"Just letting you know the footpath near the goverment quarters is damaged making it hard for pedestrians. Please help us out.","Roads"
"the garbege truck has not visited the highway junction for the last month. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please help us out.","Sanitation"
"I feel helpless because illegal parking near Model Town is causing trouble for residents. Please help us out.","Police"
"the water pipe near the government quarters burst and is flooding the street.","Water Supply"
"Could you please look into the issue that loud music from a shop near our colony   disturbs the whole neighbourhood?","Police"
"Just letting you know there is a terrible smell coming from the drain near our street.","Drainage"
"Sir just want to say residents of our colony have not received drinking water for the past few hours. Waiting for a quick response from your side.","Water Supply"
"I wish to lodge a complaint regarding the fact that suspicious activities have been noticed near the bridge area for several days. Requesting immediate action from your department.","Police"
"Could you please look into the issue that the bus conductor near our lane was rude to passengers? Requesting immediate action from your department.","Transport"
"I would like to bring to your attention that contaminated water is being supplied to households in the local market. Please help us out","Water Supply"
"this is to formally inform you that a theft was reported near the highway junction and no action has been taken","Police"
"Hi team, we have received no water supply in our village for over a week. Hope to see quick action on this.","Water Supply"
"the bus stop near the highway junction has been broken for over a week. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please send someone to fix this soon.","Transport"
"there is a shortage of medical staff at the clinic near our block. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Waiting for a quick response from your side.","Health"
"Kindly note that HEAVY rains have washed away part of the road at the highway junction.","Roads"
"My family is really struggling since the sanitation inside the hospital near our street is very poor. Please look into this matter as soon as possible.","Health"
"We are suffering a lot because anti social elements have been loitering near the SCHOOL area for the last 5 days. Please send someone to fix this soon.","Police"
"the substation near the water tank area has been making loud noises since Monday. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Waiting for a quick response from your side.","Electricity"
"Hi team, we have received no water supply in our neighbourhood since last week.","Water Supply"
"suspicious activities have been noticed near our neighbourhood continuously since last night. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Hope to see quick action on this.","Police"
"auto rickshaw drivers near the housing society are overcharging passengers.","Transport"
"This needs immediate attention. there is a leaking valve near the park area wasting a lot of water.","Water Supply"
"It is so painful to see that the water coming from the tap in the slum area is dirty and smells bad. Kindly resolve this issue at the earliest.","Water Supply"
"Could you please look into the issue that the dustbins near the corner shop area are overflowing with waste? Please look into this matter as soon as possible.","Sanitation"
"Please act fast, the traffic signal near the housing society has been malfunctioning since last Sunday. Please take strict action against those responsible","Transport"
"the health camp promised near the flyover was never conducted","Health"
"this letter is to inform the department that loose electric wires are hanging near the old town area, posing a safety risk.","Electricity"
"Hi team, auto rickshaw drivers near the college road are overcharging passengers. Please look into this matter as soon as possible","Transport"
"I feel helpless because a huge pile of garbage has accumulated near our neighbourhood. Please help us out","Sanitation"
"Could you please look into the issue that the water pipe near the panchayat office area burst and is flooding the street? Requesting immediate action from your department.","Water Supply"
"patients at the hospital near our lane face very long waiting times. this has been a recurring issue in the area and is causing a lot of inconvenience to residents. please send someone to fix this soon.","Health"
"the sanitation inside the hospital near Sector 12 is very poor. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please take strict action against those responsible.","Health"
"we are suffering a lot because the footpath near the flyover is damaged making it hard for pedestrians. this should have been fixed long ago.","Roads"
"the traffic signal near the old town area has been malfunctioning for the last few months.","Transport"
"I feel helpless because traffic violations are common near our colony and no one is checking. Waiting for a quick response from your side.","Police"
"Could you please look into the issue that the open drain near the bridge area is a breeding ground for mosquitoes? Please look into this matter as soon as possible.","Drainage"
"Could you please look into the issue that sewage is overflowing onto the street near the panchayat office area? Please look into this matter as soon as possible.","Drainage"
"traffic violations are common near Shastri Nagar and no one is checking. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. PLEASE take strict action against those responsible.","Police"
"Immediate action required: sewage is overflowing onto the street near Shastri Nagar. Kindly resolve this issue at the earliest.","Drainage"
"Please act fast, there are frequent power cuts in Shastri Nagar for almost 10 days. We need a permanent solution to this problem","Electricity"
"We are fed up as loose electric wires are hanging near the park area, posing a safety RISK.","Electricity"
"sir/madam an electric pole near the residential block is damaged and leaning dangerously. Thank you.","Electricity"
"Could you please look into the issue that the water pressure in MG Road is extremely low?","Water Supply"
"Could you please look into the issue that public health concerns are rising due to poor WASTE disposal near the local market? We need a permanent solution to this problem.","Health"
"immediate action required: the electricity bill for Ward 7 shows incorrect meter reading. This should have been fixed long ago.","Electricity"
"the transformer near Nehru Colony is damaged and sparking since the rains started. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Hope to see quick action on this.","Electricity"
"illegal parking near our stret is causing trouble for residents. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Requesting immediate action from your department.","Police"
"This is an emergency situation. public health concerns are rising due to poor waste disposal near the temple area. Requesting immediate action from your department.","Health"
"hi team, residents of the apartment complex have not received drinking water since the rains started.","Water Supply"
"Just letting you   know there is no proper parking space available near the slum area. Please look into this matter as soon as possible.","Transport"
"Please act fast, there is a terrible smell coming from the drain near the hospital area. Thank you.","Drainage"
"To whoever reads this, the sanitation INSIDE the hospital near MG Road is very poor.","Health"
"please resolve this on priority basis. there is a lot of noise disturbance near shastri nagar at night. we need a permanent solution to this problem.","Police"
"We are fed up as the bus stop near the government quarters has been broken for the past few hours. Please help us out.","Transport"
"Kindly note that we suspect sewage is mixing with drinking water supply in the hospital area. Please look into this matter as soon as possible.","Water Supply"
"there are huge potholes on the road near the railway station road.","Roads"
"Hello, water supply to the housing society has become very irregular since morning.","Water Supply"
"kindly note that mosquito control measures have not been taken near the bus stand area for 2 weeks now. Regards.","Health"
"kindly note that there is a terrible smell coming from the drain near our street. Please take strict action against those responsible.","Drainage"
"the local train service near Ward 7 has been delayed for the last few months. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please help us out.","Transport"
